AL,   12, 2012090612, 03,  CMZ, 102, 322N,  589W, 100,  934, XX,  64, NEQ, 0098, 0110, 0086, 0097,    0,    0, 029,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  34, NEQ, 0150, 0152, 0105, 0107,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  50, NEQ, 0091, 0088, 0059, 0077,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  64, NEQ, 0068, 0063, 0029, 0048,    0,    0, 033,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 108, 323N,  583W,  99,  932, XX,  34, NEQ, 0205, 0238, 0222, 0168,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 108, 323N,  583W,  99,  932, XX,  50, NEQ, 0131, 0153, 0144, 0128,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 108, 323N,  583W,  99,  932, XX,  64, NEQ, 0095, 0110, 0100, 0081,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  34, NEQ, 0155, 0143, 0104, 0111,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  50, NEQ, 0099, 0092, 0071, 0080,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  64, NEQ, 0074, 0074, 0026, 0050,    0,    0, 041,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 114, 325N,  577W,  94,  937, XX,  34, NEQ, 0202, 0233, 0210, 0180,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 114, 325N,  577W,  94,  937, XX,  50, NEQ, 0139, 0148, 0144, 0128,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 114, 325N,  577W,  94,  937, XX,  64, NEQ, 0093, 0109, 0107, 0078,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  34, NEQ, 0166, 0161, 0118, 0123,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  50, NEQ, 0102, 0097, 0060, 0079,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  64, NEQ, 0078, 0075, 0043, 0065,    0,    0, 041,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 120, 328N,  569W,  96,  939, XX,  34, NEQ, 0211, 0249, 0211, 0193,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 120, 328N,  569W,  96,  939, XX,  50, NEQ, 0135, 0149, 0138, 0124,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 120, 328N,  569W,  96,  939, XX,  64, NEQ, 0100, 0109, 0092, 0099,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  34, NEQ, 0174, 0170, 0115, 0128,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  50, NEQ, 0106, 0102, 0056, 0083,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  64, NEQ, 0088, 0086, 0000, 0038,    0,    0, 042,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 126, 333N,  561W,  94,  941, XX,  34, NEQ, 0283, 0301, 0230, 0170,    0,    0, 041,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 126, 333N,  561W,  94,  941, XX,  50, NEQ, 0158, 0182, 0155, 0125,    0,    0, 041,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 126, 333N,  561W,  94,  941, XX,  64, NEQ, 0108, 0125, 0094, 0088,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 126, 380N,  469W,  82,  977, XX,  34, NEQ, 0176, 0175, 0350, 0148,    0,    0, 043,   0,   0, TCV
